,min,min,min,max,max,max,avg,avg,avg
district_type,Gm,M,M-Gm,Gm,M,M-Gm,Gm,M,M-Gm
1999,3.0,1.0,2.0,138.0,353.0,228.0,36.377906976744185,81.7942955920484,53.3411306042885
2000,1.0,1.0,1.0,144.0,863.0,248.0,30.81615598885794,74.44716821639899,45.25094482237339
2001,1.0,1.0,1.0,140.0,782.0,246.0,30.627777777777776,73.88701042547197,44.32955404383976
2002,1.0,1.0,1.0,156.0,727.0,236.0,30.005555555555556,73.10566356720203,42.62433862433863
2003,2.0,1.0,1.0,128.0,310.0,182.0,38.11883408071749,45.23887240356083,43.2520325203252
2004,1.0,1.0,1.0,178.0,185.0,225.0,20.29787939032472,43.599951479864146,27.180295841473626
2005,1.0,1.0,1.0,174.0,197.0,246.0,20.86895294897283,45.398835516739446,27.798492883058888
2006,1.0,1.0,1.0,180.0,216.0,266.0,22.004802914872474,46.39252789907812,29.088194250627964
2007,1.0,1.0,1.0,188.0,228.0,266.0,23.148227890029812,48.836487142163996,30.701088473346356
2008,1.0,1.0,1.0,208.0,245.0,293.0,24.49354090758529,52.55021834061135,32.78342171364778
2009,1.0,1.0,1.0,212.0,256.0,297.0,24.349619079165286,53.45875788452208,32.7164387384873
2010,1.0,1.0,1.0,205.0,257.0,287.0,23.223915203709836,51.64556040756914,31.0323751046609
2011,1.0,1.0,1.0,189.0,245.0,262.0,22.273555224374896,49.66593886462882,29.613452414178063
2012,1.0,1.0,1.0,116.0,139.0,145.0,18.796910202767943,25.402813492663743,23.982129560685035
2013,1.0,1.0,1.0,124.0,139.0,148.0,17.78210492436434,24.425654212675845,22.850335070737156
2014,1.0,1.0,1.0,112.0,137.0,152.0,17.947215963952367,25.003327787021632,23.056962025316455
2015,1.0,1.0,1.0,110.0,159.0,145.0,17.637914386868363,25.15368325518076,22.696202531645568
