district_type,school_type,min_ratio,max_ratio,avg_ratio
Gm,Gimnazjum,0.25,30.0,6.288826669215792
Gm,Liceum ogólnokształcące,0.75,160.0,8.603257486092726
Gm,Przedszkole,0.4,72.0,9.936904543980534
Gm,Szkoła podstawowa,0.29411764705882354,37.0,6.610223861068412
Gm,Technikum,0.5769230769230769,46.0,6.641814846677989
M,Gimnazjum,0.13333333333333333,141.0,4.741357486068035
M,Liceum ogólnokształcące,0.1111111111111111,222.5,11.565843149212155
M,Przedszkole,0.3333333333333333,141.0,8.872429335848365
M,Szkoła podstawowa,0.09090909090909091,124.0,7.491040541809086
M,Technikum,0.2,37.0,8.422549496205441
M-Gm,Gimnazjum,0.09090909090909091,32.0,6.020559699299264
M-Gm,Liceum ogólnokształcące,0.3333333333333333,106.0,9.220283766539255
M-Gm,Przedszkole,0.3333333333333333,99.0,9.657827976006297
M-Gm,Szkoła podstawowa,0.125,73.0,6.838551591248547
M-Gm,Technikum,0.5,88.0,8.539399855869194
